agent\.id,agent\.name,rule\.level,rule\.id,rule\.mitre\.tactic,rule\.mitre\.id,timestamp
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 20:45:39.909"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 20:43:24.225"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:54:07.157"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:54:07.200"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 20:54:09.548"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 20:54:09.554"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 20:54:09.557"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 21:00:17.920"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 21:00:21.691"
002,DESKTOP-B2K36HT,7,553,"[""Defense Evasion"",""Impact""]","[""T1070.004"",""T1485""]","Oct 1, 2025 @ 21:00:21.760"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:53:02.831"
002,DESKTOP-B2K36HT,5,554, , ,"Oct 1, 2025 @ 20:53:09.715"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:50:34.406"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:52:34.590"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 20:53:34.740"
002,DESKTOP-B2K36HT,11,100141,"[""Defense Evasion""]","[""T1070.003""]","Oct 1, 2025 @ 21:09:35.043"
002,DESKTOP-B2K36HT,8,100040,"[""Execution""]","[""T1047""]","Oct 1, 2025 @ 21:09:35.255"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 21:09:35.365"
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:09:35.413"
002,DESKTOP-B2K36HT,12,92057,"[""Execution""]","[""T1059.001""]","Oct 1, 2025 @ 21:09:35.450"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:10:22.428"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:00:35.278"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:01:35.414"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:02:35.521"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:03:35.641"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:06:35.911"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:07:35.951"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:08:36.075"
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:13:50.232"
002,DESKTOP-B2K36HT,12,100010,"[""Execution""]","[""T1059.001""]","Oct 1, 2025 @ 21:13:50.246"
002,DESKTOP-B2K36HT,10,100130,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:13:50.319"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 21:13:50.385"
002,DESKTOP-B2K36HT,11,100141,"[""Defense Evasion""]","[""T1070.003""]","Oct 1, 2025 @ 21:13:50.743"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:13:50.891"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:13:55.219"
001,onisa-VirtualBox,7,550,"[""Impact""]","[""T1565.001""]","Oct 1, 2025 @ 21:11:08.481"
002,DESKTOP-B2K36HT,10,100025,"[""Credential Access""]","[""T1003.005""]","Oct 1, 2025 @ 21:11:12.272"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:11:12.332"
002,DESKTOP-B2K36HT,15,92213,"[""Command and Control""]","[""T1105""]","Oct 1, 2025 @ 21:11:12.364"
001,onisa-VirtualBox,10,100060,"[""Execution""]","[""T1059.004""]","Oct 1, 2025 @ 21:12:36.386"
